lemma,pos,synset,fol_predicate
privacy,n,privacy.n.01,privacy
policy,n,policy.n.02,policy
explain,v,explain.v.01,explain
information,n,information.n.01,information
google,n,google.n.01,google
collect,v,collect.v.01,collect
use,v,use.v.01,use
service,n,service.n.01,service
data,n,data.n.01,data
vary,v,vary.v.01,vary
control,n,control.n.01,control
choose,v,choose.v.01,choose
sign,v,sign.v.01,sign
store,v,store.v.01,store
identifier,n,identifier.n.01,identifier
associate,v,associate.v.01,associate
browser,n,browser.n.01,browser
app,n,application.n.01,app
device,n,device.n.01,device
maintain,v,maintain.v.01,maintain
preference,n,preference.n.02,preference
session,n,session.n.01,session
create,v,create.v.01,create
account,n,account.n.01,account
provide,v,provide.v.01,provide
personal,a,personal.a.01,personal
name,n,name.n.01,name
password,n,password.n.01,password
add,v,add.v.01,add
detail,n,detail.n.01,detail
phone,n,telephone.n.01,phone
number,n,number.n.02,number
payment,n,payment.n.01,payment
content,n,content.n.05,content
upload,v,upload.v.01,upload
receive,v,receive.v.01,receive
email,n,electronic_mail.n.01,email
photo,n,photograph.n.01,photo
document,n,document.n.01,document
comment,n,comment.n.01,comment
technical,a,technical.a.01,technical
interaction,n,interaction.n.01,interaction
address,n,address.n.01,address
date,n,date.n.01,date
time,n,time.n.01,time
referrer,n,referrer.n.01,referrer
url,n,uniform_resource_locator.n.01,url
technology,n,technology.n.01,technology
cookie,n,cookie.n.01,cookie
log,n,log.n.01,log
deliver,v,deliver.v.01,deliver
keep,v,keep.v.01,keep
work,v,work.v.02,work
improve,v,better.v.01,improve
develop,v,develop.v.01,develop
feature,n,feature.n.01,feature
personalize,v,personalize.v.01,personalize
ad,n,ad.n.01,ad
depend,v,depend.v.01,depend
setting,n,setting.n.01,setting
communicate,v,communicate.v.01,communicate
user,n,user.n.01,user
protect,v,protect.v.01,protect
fraud,n,fraud.n.01,fraud
abuse,n,abuse.n.01,abuse
security,n,security.n.01,security
risk,n,risk.n.01,risk
allow,v,let.v.01,allow
share,v,share.v.01,share
publicly,r,publicly.r.01,publicly
privately,r,privately.r.01,privately
accessible,a,accessible.a.01,accessible
search,n,search.n.01,search
engine,n,engine.n.01,engine
retain,v,retain.v.01,retain
kind,n,kind.n.01,kind
period,n,period.n.01,period
option,n,option.n.01,option
delete,v,delete.v.01,delete
legal,a,legal.a.01,legal
need,n,need.n.01,need
business,n,business.n.01,business
